Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,16111.8432,18732.26383,22266.34482,24865.17742,25411.16811,26564.66165,27194.41455,28307.37717,29666.23092,29497.96354,28958.1438,30074.40624,29765.51517,29262.61588,30703.66119,31426.87874,30760.20755,30793.13496,32742.76075,32291.76954,32272.25119,32863.36278,33053.76759,28836.01748,27732.21391,28398.55758,27876.2064,29447.58,28780.63086,28419.26453,28737.89649,30598.64902,31172.80251,30317.60739,23015.74205,29390.38095,32492.17888,
Africa Eastern and Southern,AFE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1169.164624,1144.10867,1201.300157,1234.773598,1257.127986,1285.221264,1310.425219,1342.844488,1359.400533,1388.209346,1364.275863,1398.199603,1397.094162,1419.815952,1454.03761,1432.050554,1423.781989,1399.667168,1379.341322,1376.313149,1409.62243,1423.297819,1384.501039,1344.312997,1349.895945,1309.442013,1299.762743,1311.134407,1328.371807,1326.47251,1291.297271,1255.053869,1194.048542,1156.24568,1148.122693,1166.649864,1198.023994,1212.72062,1203.77404,1204.904302,1212.377123,1223.251604,1237.975559,1242.145353,1277.389341,1320.919395,1370.759059,1422.782459,1445.007422,1418.634327,1452.814892,1471.634154,1457.536736,1478.384919,1495.764362,1498.805084,1490.859688,1490.797648,1490.701057,1483.415659,1404.554538,1430.424771,1444.522962,1445.801128
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.5844705,285.5021939,344.2241808,347.4152392,338.7393961,363.5414673,367.4858493,410.8616104,418.5231706,490.272834,544.6892941,527.1973365,570.6760614,582.1039759,576.4878173,566.8811297,564.9208406,563.4882365,553.973306,559.140954,529.1449097,407.6165052,372.6158948,
Africa Western and Central,AFW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1108.162434,1105.532621,1122.437428,1176.861392,1213.649116,1235.726955,1189.687131,1057.345954,1049.780195,1182.562195,1358.132669,1466.693664,1477.29077,1499.093635,1608.065358,1532.248936,1618.409955,1647.569251,1571.216655,1605.553033,1591.090108,1441.884868,1355.085974,1235.252738,1209.882286,1241.618151,1225.281573,1209.666141,1233.149326,1220.528927,1257.61145,1237.772119,1234.798992,1186.824774,1152.663544,1143.974531,1165.835341,1185.794011,1196.037581,1182.514367,1195.290872,1223.306359,1307.976078,1342.533754,1409.955825,1450.917669,1486.783726,1525.740425,1576.906832,1629.622659,1694.969241,1727.937276,1766.972034,1824.484798,1880.858797,1882.518808,1835.387229,1827.858406,1830.945623,1841.436116,1776.474134,1801.092775,1822.95546,1837.211718
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,2768.683307,2554.432961,2464.301295,2476.580824,2532.100292,2527.960939,2510.148559,2524.318834,2590.329136,2505.498122,2339.473561,2285.373193,2083.156663,1534.263138,1505.869741,1675.708091,1840.354082,1909.468937,1934.557948,1913.998919,1909.502062,1925.50803,2116.851679,2106.985864,2257.15236,2505.655029,2696.441096,2964.33545,3176.672162,3087.81143,3105.449655,3094.733915,3235.174604,3270.966345,3304.681148,3217.33924,3023.916319,2914.127139,2777.843042,2666.253915,2435.024854,2387.429907,2385.119956,2333.718775
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1740.505838,1804.010779,1818.36782,1799.878617,1740.347682,1735.290312,1798.01508,1748.57872,1691.530949,1808.646078,1606.296468,1163.491598,1086.438771,1197.580908,1305.001061,1488.020881,1633.552,1464.297963,1603.64765,1821.873131,1960.88246,2143.526839,2247.49808,2380.644621,2522.449374,2675.508637,2851.367759,3044.896617,3298.478908,3432.170872,3577.114325,3678.047701,3736.34008,3780.699193,3855.760744,3952.803574,4090.372728,4249.820049,4431.555595,4543.38771,4418.660874,4857.111942,5155.29086,5394.18241
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,43258.89833,42166.13299,42586.62771,42965.93699,42570.35126,40266.2383,39247.92162,38203.6425,36828.83671,35152.04361,34446.36101,33120.94351,32134.15304,31219.55543,30459.1312,30008.04186,29764.08727,30076.35873,30323.29953,30565.12465,30578.06,30301.62992,29596.02217,28363.33894,28144.3744,28051.39002,28797.8532,31149.35565,31895.98078,32966.23685,33901.17697,35722.52889,35749.92891,37250.29519,38696.49461,39307.14086,40994.44761,42724.5672,41470.43793,40442.78511,40937.27407,41486.19947,39174.89729,37597.70533,38402.64926,38885.53032,39886.64008,39321.61431,39320.09245,39413.79088,34394.41404,36616.10076,39720.95186,40161.76953
Arab World,ARB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,2318.315909,2406.298144,2592.523153,2708.212191,3220.363618,3416.272743,3834.658981,4249.385204,4565.772504,4350.232648,4846.895776,5016.203583,4892.591642,5255.276986,5393.70197,5247.481006,4691.8564,4303.078205,4224.837372,4046.61632,4059.98017,3912.705057,4003.587949,4040.272356,4289.594071,4257.709911,4415.275785,4410.595466,4430.008551,4439.951026,4534.746201,4648.8097,4763.720741,4743.794977,4943.7837,4916.366527,4841.809908,4969.096013,5294.690548,5456.802883,5649.717466,5749.822898,5909.089931,5781.092492,5915.223281,5996.197313,6163.268064,6176.533522,6184.052193,6258.607227,6350.531332,6315.847499,6348.446345,6324.089752,5879.176985,6081.274255,6320.53651,6263.556671
United Arab Emirates,ARE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,47203.44911,55795.19952,68135.33866,106937.5689,109895.2546,105688.0871,108961.5715,114972.0432,99322.29963,106457.4939,118141.5296,113965.8333,100147.668,90020.97281,88572.85943,80981.75348,64687.56068,62325.63319,56808.41414,59965.2318,66911.08935,63849.71971,62622.68691,60359.11424,61592.22521,62877.68408,62935.98474,63791.59406,60144.81456,58365.15518,61187.76975,58831.08967,57286.49607,59389.51036,62139.58693,60778.46861,58336.56272,50214.13709,43541.97,36076.52773,34540.97151,36288.33318,36567.62229,38034.9684,39242.27531,41525.1389,43457.51348,43419.56374,43644.14705,43785.41727,41276.05551,42715.44017,45698.01053,46877.42869
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7410.305029,7687.517338,7498.840061,6986.564802,7572.231166,8241.529337,8059.450431,8187.373351,8450.037064,9126.186479,9257.895572,9628.037838,9630.010366,9739.416271,10105.04951,9935.938635,9581.841403,10083.81518,9476.063436,10278.92462,10270.95612,9585.206772,9366.17038,9622.347319,9624.404556,8987.933706,9397.883608,9507.339813,9262.963927,8473.026569,8144.494294,8762.661384,9327.859451,9957.256522,10397.37929,9969.331576,10388.53871,11097.38206,11391.94516,10880.20621,10672.72204,10090.65344,8895.319642,9581.969792,10341.64341,11141.31067,11913.95853,12857.09258,13246.63489,12336.86194,13551.33919,14200.26989,13895.63371,14071.50868,13567.94842,13789.06042,13360.21183,13595.03736,13105.39716,12716.2242,11346.65211,12444.31827,12940.73844,12625.46955
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641.983145,1425.386741,839.5720299,791.6469962,855.0810409,928.0924966,989.6423432,1031.098259,1116.907192,1166.187962,1249.612129,1385.044794,1582.057622,1815.788224,2018.460141,2312.982861,2636.256648,3019.465561,3250.498611,2810.192841,2889.566228,3043.262786,3278.670448,3402.083855,3538.529392,3666.141822,3689.830082,3985.916698,4215.899394,4561.967799,4256.131228,4526.597489,5116.205756,5566.318493
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12804.43584,12980.7223,13105.16908,13136.48008,12690.52911,13029.61628,12795.02456,12378.17019,12532.31112,12656.68814,12247.63529,12098.27515,12494.98021,13101.54182,13116.43098,12442.85767,13049.33015,13288.35656,14214.64646,14464.81405,14969.05994,
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,6037.336572,6281.212924,6759.331554,7279.414033,7535.42179,7511.182756,7892.649803,8701.069407,9411.373717,10547.61848,11309.25027,11967.86297,12664.93125,13109.76429,13330.72808,13271.39776,13722.78906,14368.70983,13475.90828,14077.823,14551.99615,14956.13763,15248.2379,15927.90839,14972.09753,14933.86957,15662.83365,16384.33445,17242.34829,19187.03079,20687.68713,20377.93777,17667.84877,16062.01581,15559.66197,15911.09628,15668.43551,15882.30926,15985.54114,16526.43614,16830.39626,17901.04091,18357.67882,14803.76951,15921.09512,17335.04704,17902.37992
